SGDClassifier {'penalty': 'l1', 'alpha': 0.001, 'max_iter': 1000, 'learning_rate': 'optimal', 'eta0': 0.01}: 0.3467741935483871, 0.288
SGDClassifier {'penalty': 'l1', 'alpha': 0.001, 'max_iter': 1000, 'learning_rate': 'optimal', 'eta0': 0.1}: 0.29838709677419356, 0.376
SGDClassifier {'penalty': 'l1', 'alpha': 0.001, 'max_iter': 1000, 'learning_rate': 'adaptive', 'eta0': 0.001}: 0.24193548387096775, 0.304
SGDClassifier {'penalty': 'l1', 'alpha': 0.001, 'max_iter': 1000, 'learning_rate': 'adaptive', 'eta0': 0.01}: 0.20967741935483872, 0.224
SGDClassifier {'penalty': 'l1', 'alpha': 0.001, 'max_iter': 1000, 'learning_rate': 'adaptive', 'eta0': 0.1}: 0.29838709677419356, 0.232
SGDClassifier {'penalty': 'l1', 'alpha': 0.001, 'max_iter': 10000, 'learning_rate': 'constant', 'eta0': 0.001}: 0.3064516129032258, 0.336
SGDClassifier {'penalty': 'l1', 'alpha': 0.001, 'max_iter': 10000, 'learning_rate': 'constant', 'eta0': 0.01}: 0.28225806451612906, 0.28
SGDClassifier {'penalty': 'l1', 'alpha': 0.001, 'max_iter': 10000, 'learning_rate': 'constant', 'eta0': 0.1}: 0.25806451612903225, 0.208
SGDClassifier {'penalty': 'l1', 'alpha': 0.001, 'max_iter': 10000, 'learning_rate': 'optimal', 'eta0': 0.001}: 0.2661290322580645, 0.328
SGDClassifier {'penalty': 'l1', 'alpha': 0.001, 'max_iter': 10000, 'learning_rate': 'optimal', 'eta0': 0.01}: 0.3064516129032258, 0.312
SGDClassifier {'penalty': 'l1', 'alpha': 0.001, 'max_iter': 10000, 'learning_rate': 'optimal', 'eta0': 0.1}: 0.29838709677419356, 0.336
SGDClassifier {'penalty': 'l1', 'alpha': 0.001, 'max_iter': 10000, 'learning_rate': 'adaptive', 'eta0': 0.001}: 0.2661290322580645, 0.328
SGDClassifier {'penalty': 'l1', 'alpha': 0.001, 'max_iter': 10000, 'learning_rate': 'adaptive', 'eta0': 0.01}: 0.3064516129032258, 0.312
SGDClassifier {'penalty': 'l1', 'alpha': 0.001, 'max_iter': 10000, 'learning_rate': 'adaptive', 'eta0': 0.1}: 0.24193548387096775, 0.248
SGDClassifier {'penalty': 'l1', 'alpha': 0.001, 'max_iter': 50000, 'learning_rate': 'constant', 'eta0': 0.001}: 0.25806451612903225, 0.312
SGDClassifier {'penalty': 'l1', 'alpha': 0.001, 'max_iter': 50000, 'learning_rate': 'constant', 'eta0': 0.01}: 0.27419354838709675, 0.36
SGDClassifier {'penalty': 'l1', 'alpha': 0.001, 'max_iter': 50000, 'learning_rate': 'constant', 'eta0': 0.1}: 0.3387096774193548, 0.256
SGDClassifier {'penalty': 'l1', 'alpha': 0.001, 'max_iter': 50000, 'learning_rate': 'optimal', 'eta0': 0.001}: 0.3387096774193548, 0.36
SGDClassifier {'penalty': 'l1', 'alpha': 0.001, 'max_iter': 50000, 'learning_rate': 'optimal', 'eta0': 0.01}: 0.28225806451612906, 0.28
SGDClassifier {'penalty': 'l1', 'alpha': 0.001, 'max_iter': 50000, 'learning_rate': 'optimal', 'eta0': 0.1}: 0.28225806451612906, 0.232
SGDClassifier {'penalty': 'l1', 'alpha': 0.001, 'max_iter': 50000, 'learning_rate': 'adaptive', 'eta0': 0.001}: 0.25, 0.312
SGDClassifier {'penalty': 'l1', 'alpha': 0.001, 'max_iter': 50000, 'learning_rate': 'adaptive', 'eta0': 0.01}: 0.25806451612903225, 0.256
SGDClassifier {'penalty': 'l1', 'alpha': 0.001, 'max_iter': 50000, 'learning_rate': 'adaptive', 'eta0': 0.1}: 0.25, 0.224
SGDClassifier {'penalty': 'l1', 'alpha': 0.001, 'max_iter': 100000, 'learning_rate': 'constant', 'eta0': 0.001}: 0.29838709677419356, 0.336
SGDClassifier {'penalty': 'l1', 'alpha': 0.001, 'max_iter': 100000, 'learning_rate': 'constant', 'eta0': 0.01}: 0.27419354838709675, 0.328
SGDClassifier {'penalty': 'l1', 'alpha': 0.001, 'max_iter': 100000, 'learning_rate': 'constant', 'eta0': 0.1}: 0.28225806451612906, 0.296
SGDClassifier {'penalty': 'l1', 'alpha': 0.001, 'max_iter': 100000, 'learning_rate': 'optimal', 'eta0': 0.001}: 0.25, 0.32
SGDClassifier {'penalty': 'l1', 'alpha': 0.001, 'max_iter': 100000, 'learning_rate': 'optimal', 'eta0': 0.01}: 0.27419354838709675, 0.24
SGDClassifier {'penalty': 'l1', 'alpha': 0.001, 'max_iter': 100000, 'learning_rate': 'optimal', 'eta0': 0.1}: 0.22580645161290322, 0.208
SGDClassifier {'penalty': 'l1', 'alpha': 0.001, 'max_iter': 100000, 'learning_rate': 'adaptive', 'eta0': 0.001}: 0.31451612903225806, 0.32
SGDClassifier {'penalty': 'l1', 'alpha': 0.001, 'max_iter': 100000, 'learning_rate': 'adaptive', 'eta0': 0.01}: 0.25, 0.256
SGDClassifier {'penalty': 'l1', 'alpha': 0.001, 'max_iter': 100000, 'learning_rate': 'adaptive', 'eta0': 0.1}: 0.27419354838709675, 0.28
