SGDClassifier {'penalty': 'l1', 'alpha': 0.001, 'max_iter': 500, 'learning_rate': 'adaptive', 'eta0': 0.01}: 0.28225806451612906, 0.24
SGDClassifier {'penalty': 'l1', 'alpha': 0.001, 'max_iter': 500, 'learning_rate': 'adaptive', 'eta0': 0.1}: 0.33064516129032256, 0.304
SGDClassifier {'penalty': 'l1', 'alpha': 0.001, 'max_iter': 1000, 'learning_rate': 'constant', 'eta0': 0.001}: 0.2903225806451613, 0.304
SGDClassifier {'penalty': 'l1', 'alpha': 0.001, 'max_iter': 1000, 'learning_rate': 'constant', 'eta0': 0.01}: 0.2903225806451613, 0.352
SGDClassifier {'penalty': 'l1', 'alpha': 0.001, 'max_iter': 1000, 'learning_rate': 'constant', 'eta0': 0.1}: 0.33064516129032256, 0.232
SGDClassifier {'penalty': 'l1', 'alpha': 0.001, 'max_iter': 1000, 'learning_rate': 'optimal', 'eta0': 0.001}: 0.3064516129032258, 0.296
SGDClassifier {'penalty': 'l1', 'alpha': 0.001, 'max_iter': 1000, 'learning_rate': 'optimal', 'eta0': 0.01}: 0.3064516129032258, 0.352
SGDClassifier {'penalty': 'l1', 'alpha': 0.001, 'max_iter': 1000, 'learning_rate': 'optimal', 'eta0': 0.1}: 0.3387096774193548, 0.312
SGDClassifier {'penalty': 'l1', 'alpha': 0.001, 'max_iter': 1000, 'learning_rate': 'adaptive', 'eta0': 0.001}: 0.3225806451612903, 0.36
SGDClassifier {'penalty': 'l1', 'alpha': 0.001, 'max_iter': 1000, 'learning_rate': 'adaptive', 'eta0': 0.01}: 0.3467741935483871, 0.36
SGDClassifier {'penalty': 'l1', 'alpha': 0.001, 'max_iter': 1000, 'learning_rate': 'adaptive', 'eta0': 0.1}: 0.33064516129032256, 0.32
SGDClassifier {'penalty': 'l1', 'alpha': 0.001, 'max_iter': 10000, 'learning_rate': 'constant', 'eta0': 0.001}: 0.3548387096774194, 0.32
SGDClassifier {'penalty': 'l1', 'alpha': 0.001, 'max_iter': 10000, 'learning_rate': 'constant', 'eta0': 0.01}: 0.3064516129032258, 0.312
SGDClassifier {'penalty': 'l1', 'alpha': 0.001, 'max_iter': 10000, 'learning_rate': 'constant', 'eta0': 0.1}: 0.3225806451612903, 0.272
SGDClassifier {'penalty': 'l1', 'alpha': 0.001, 'max_iter': 10000, 'learning_rate': 'optimal', 'eta0': 0.001}: 0.3870967741935484, 0.368
SGDClassifier {'penalty': 'l1', 'alpha': 0.001, 'max_iter': 10000, 'learning_rate': 'optimal', 'eta0': 0.01}: 0.31451612903225806, 0.36
SGDClassifier {'penalty': 'l1', 'alpha': 0.001, 'max_iter': 10000, 'learning_rate': 'optimal', 'eta0': 0.1}: 0.27419354838709675, 0.248
SGDClassifier {'penalty': 'l1', 'alpha': 0.001, 'max_iter': 10000, 'learning_rate': 'adaptive', 'eta0': 0.001}: 0.3548387096774194, 0.344
SGDClassifier {'penalty': 'l1', 'alpha': 0.001, 'max_iter': 10000, 'learning_rate': 'adaptive', 'eta0': 0.01}: 0.3709677419354839, 0.352
SGDClassifier {'penalty': 'l1', 'alpha': 0.001, 'max_iter': 10000, 'learning_rate': 'adaptive', 'eta0': 0.1}: 0.3629032258064516, 0.336
SGDClassifier {'penalty': 'l1', 'alpha': 0.001, 'max_iter': 50000, 'learning_rate': 'constant', 'eta0': 0.001}: 0.2661290322580645, 0.264
SGDClassifier {'penalty': 'l1', 'alpha': 0.001, 'max_iter': 50000, 'learning_rate': 'constant', 'eta0': 0.01}: 0.29838709677419356, 0.264
SGDClassifier {'penalty': 'l1', 'alpha': 0.001, 'max_iter': 50000, 'learning_rate': 'constant', 'eta0': 0.1}: 0.24193548387096775, 0.216
SGDClassifier {'penalty': 'l1', 'alpha': 0.001, 'max_iter': 50000, 'learning_rate': 'optimal', 'eta0': 0.001}: 0.31451612903225806, 0.288
SGDClassifier {'penalty': 'l1', 'alpha': 0.001, 'max_iter': 50000, 'learning_rate': 'optimal', 'eta0': 0.01}: 0.33064516129032256, 0.368
SGDClassifier {'penalty': 'l1', 'alpha': 0.001, 'max_iter': 50000, 'learning_rate': 'optimal', 'eta0': 0.1}: 0.3064516129032258, 0.208
SGDClassifier {'penalty': 'l1', 'alpha': 0.001, 'max_iter': 50000, 'learning_rate': 'adaptive', 'eta0': 0.001}: 0.33064516129032256, 0.344
SGDClassifier {'penalty': 'l1', 'alpha': 0.001, 'max_iter': 50000, 'learning_rate': 'adaptive', 'eta0': 0.01}: 0.3467741935483871, 0.352
SGDClassifier {'penalty': 'l1', 'alpha': 0.001, 'max_iter': 50000, 'learning_rate': 'adaptive', 'eta0': 0.1}: 0.3548387096774194, 0.296
SGDClassifier {'penalty': 'l1', 'alpha': 0.001, 'max_iter': 100000, 'learning_rate': 'constant', 'eta0': 0.001}: 0.29838709677419356, 0.312
SGDClassifier {'penalty': 'l1', 'alpha': 0.001, 'max_iter': 100000, 'learning_rate': 'constant', 'eta0': 0.01}: 0.3709677419354839, 0.312
SGDClassifier {'penalty': 'l1', 'alpha': 0.001, 'max_iter': 100000, 'learning_rate': 'constant', 'eta0': 0.1}: 0.31451612903225806, 0.28
SGDClassifier {'penalty': 'l1', 'alpha': 0.001, 'max_iter': 100000, 'learning_rate': 'optimal', 'eta0': 0.001}: 0.3387096774193548, 0.24
SGDClassifier {'penalty': 'l1', 'alpha': 0.001, 'max_iter': 100000, 'learning_rate': 'optimal', 'eta0': 0.01}: 0.3951612903225806, 0.368
SGDClassifier {'penalty': 'l1', 'alpha': 0.001, 'max_iter': 100000, 'learning_rate': 'optimal', 'eta0': 0.1}: 0.2661290322580645, 0.312
SGDClassifier {'penalty': 'l1', 'alpha': 0.001, 'max_iter': 100000, 'learning_rate': 'adaptive', 'eta0': 0.001}: 0.3548387096774194, 0.336
SGDClassifier {'penalty': 'l1', 'alpha': 0.001, 'max_iter': 100000, 'learning_rate': 'adaptive', 'eta0': 0.01}: 0.3064516129032258, 0.312
SGDClassifier {'penalty': 'l1', 'alpha': 0.001, 'max_iter': 100000, 'learning_rate': 'adaptive', 'eta0': 0.1}: 0.31451612903225806, 0.312
SGDClassifier {'penalty': 'l1', 'alpha': 0.0001, 'max_iter': 100, 'learning_rate': 'constant', 'eta0': 0.001}: 0.2903225806451613, 0.312
SGDClassifier {'penalty': 'l1', 'alpha': 0.0001, 'max_iter': 100, 'learning_rate': 'constant', 'eta0': 0.01}: 0.3064516129032258, 0.344
SGDClassifier {'penalty': 'l1', 'alpha': 0.0001, 'max_iter': 100, 'learning_rate': 'constant', 'eta0': 0.1}: 0.3064516129032258, 0.256
SGDClassifier {'penalty': 'l1', 'alpha': 0.0001, 'max_iter': 100, 'learning_rate': 'optimal', 'eta0': 0.001}: 0.33064516129032256, 0.32
SGDClassifier {'penalty': 'l1', 'alpha': 0.0001, 'max_iter': 100, 'learning_rate': 'optimal', 'eta0': 0.01}: 0.31451612903225806, 0.32
SGDClassifier {'penalty': 'l1', 'alpha': 0.0001, 'max_iter': 100, 'learning_rate': 'optimal', 'eta0': 0.1}: 0.3629032258064516, 0.344
SGDClassifier {'penalty': 'l1', 'alpha': 0.0001, 'max_iter': 100, 'learning_rate': 'adaptive', 'eta0': 0.001}: 0.2903225806451613, 0.376
SGDClassifier {'penalty': 'l1', 'alpha': 0.0001, 'max_iter': 100, 'learning_rate': 'adaptive', 'eta0': 0.01}: 0.28225806451612906, 0.28
SGDClassifier {'penalty': 'l1', 'alpha': 0.0001, 'max_iter': 100, 'learning_rate': 'adaptive', 'eta0': 0.1}: 0.3548387096774194, 0.328
SGDClassifier {'penalty': 'l1', 'alpha': 0.0001, 'max_iter': 500, 'learning_rate': 'constant', 'eta0': 0.001}: 0.28225806451612906, 0.296
SGDClassifier {'penalty': 'l1', 'alpha': 0.0001, 'max_iter': 500, 'learning_rate': 'constant', 'eta0': 0.01}: 0.25806451612903225, 0.28
SGDClassifier {'penalty': 'l1', 'alpha': 0.0001, 'max_iter': 500, 'learning_rate': 'constant', 'eta0': 0.1}: 0.3709677419354839, 0.248
SGDClassifier {'penalty': 'l1', 'alpha': 0.0001, 'max_iter': 500, 'learning_rate': 'optimal', 'eta0': 0.001}: 0.27419354838709675, 0.288
SGDClassifier {'penalty': 'l1', 'alpha': 0.0001, 'max_iter': 500, 'learning_rate': 'optimal', 'eta0': 0.01}: 0.3387096774193548, 0.368
SGDClassifier {'penalty': 'l1', 'alpha': 0.0001, 'max_iter': 500, 'learning_rate': 'optimal', 'eta0': 0.1}: 0.3387096774193548, 0.328
SGDClassifier {'penalty': 'l1', 'alpha': 0.0001, 'max_iter': 500, 'learning_rate': 'adaptive', 'eta0': 0.001}: 0.33064516129032256, 0.288
SGDClassifier {'penalty': 'l1', 'alpha': 0.0001, 'max_iter': 500, 'learning_rate': 'adaptive', 'eta0': 0.01}: 0.31451612903225806, 0.344
SGDClassifier {'penalty': 'l1', 'alpha': 0.0001, 'max_iter': 500, 'learning_rate': 'adaptive', 'eta0': 0.1}: 0.3064516129032258, 0.296
SGDClassifier {'penalty': 'l1', 'alpha': 0.0001, 'max_iter': 1000, 'learning_rate': 'constant', 'eta0': 0.001}: 0.2903225806451613, 0.304
SGDClassifier {'penalty': 'l1', 'alpha': 0.0001, 'max_iter': 1000, 'learning_rate': 'constant', 'eta0': 0.01}: 0.28225806451612906, 0.232
SGDClassifier {'penalty': 'l1', 'alpha': 0.0001, 'max_iter': 1000, 'learning_rate': 'constant', 'eta0': 0.1}: 0.33064516129032256, 0.256
SGDClassifier {'penalty': 'l1', 'alpha': 0.0001, 'max_iter': 1000, 'learning_rate': 'optimal', 'eta0': 0.001}: 0.18548387096774194, 0.296
SGDClassifier {'penalty': 'l1', 'alpha': 0.0001, 'max_iter': 1000, 'learning_rate': 'optimal', 'eta0': 0.01}: 0.29838709677419356, 0.2
SGDClassifier {'penalty': 'l1', 'alpha': 0.0001, 'max_iter': 1000, 'learning_rate': 'optimal', 'eta0': 0.1}: 0.3064516129032258, 0.344
